DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2026
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Total"
"210409 FORMOSA DA SERRA NEGRA";1;-;-;-;-;-;1;-;1;-;-;-;-;3
"210420 FORTUNA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"210430 GODOFREDO VIANA";-;-;-;1;-;-;-;2;-;-;-;-;-;3
"210440 GONCALVES DIAS";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"210450 GOVERNADOR ARCHER";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"210462 GOVERNADOR LUIZ ROCHA";-;-;-;-;-;-;1;-;-;4;-;-;-;5
"210465 GOVERNADOR NEWTON BELLO";-;-;-;-;-;-;-;-;-;3;-;-;-;3
"210467 GOVERNADOR NUNES FREIRE";2;-;-;-;-;-;-;-;-;-;-;-;-;2
"210480 GRAJAU";-;-;-;-;2;-;4;7;25;8;4;-;-;50
"210500 HUMBERTO DE CAMPOS";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"210515 IGARAPE DO MEIO";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"210530 IMPERATRIZ";3;1;-;1;-;-;1;1;6;3;3;-;-;19
"210535 ITAIPAVA DO GRAJAU";-;-;-;-;-;-;-;-;-;3;-;1;-;4
"210540 ITAPECURU MIRIM";1;-;1;-;2;2;-;1;-;-;1;-;-;8
"210545 JATOBA";-;-;-;-;-;-;-;3;1;-;-;-;-;4
"210547 JENIPAPO DOS VIEIRAS";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"210565 JUNCO DO MARANHAO";17;32;14;4;4;6;2;1;1;-;-;-;-;81
"210570 LAGO DA PEDRA";1;-;-;-;-;-;-;1;-;-;-;-;-;2
"210590 LAGO VERDE";-;4;-;2;-;-;1;1;6;1;3;1;-;19
"210592 LAGOA DO MATO";-;-;-;-;-;-;-;-;-;5;4;-;-;9
"210594 LAGO DOS RODRIGUES";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"210596 LAGOA GRANDE DO MARANHAO";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"210598 LAJEADO NOVO";-;-;-;-;-;-;-;1;1;-;-;-;-;2
"210600 LIMA CAMPOS";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"210610 LORETO";1;7;8;13;16;15;16;15;22;3;1;2;2;121
"210640 MATA ROMA";-;-;-;2;-;2;2;-;-;-;-;-;-;6
"210660 MATOES";-;-;-;-;-;-;-;-;2;7;8;2;1;20
"210675 MIRANDA DO NORTE";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"210690 MONCAO";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"210710 MORROS";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"210740 OLHO D'AGUA DAS CUNHAS";-;1;1;-;-;-;-;-;1;1;-;-;-;4
"210750 PACO DO LUMIAR";-;-;-;-;-;-;1;-;1;-;2;-;-;4
"210780 PARNARAMA";-;1;1;3;-;2;2;1;3;-;1;2;-;16
"210790 PASSAGEM FRANCA";-;-;-;-;-;-;1;-;-;-;1;-;-;2
"210810 PAULO RAMOS";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"210820 PEDREIRAS";-;-;-;-;2;2;-;-;1;1;-;-;-;6
"210845 PERITORO";1;-;-;1;-;1;6;5;2;-;-;-;-;16
"210850 PINDARE-MIRIM";1;-;3;-;7;8;45;51;38;20;11;3;-;187
"210860 PINHEIRO";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"210900 PORTO FRANCO";-;1;-;1;1;-;2;3;3;3;9;-;-;23
"210950 RIACHAO";7;4;2;8;6;-;-;-;2;1;4;1;-;35
"210960 ROSARIO";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"210970 SAMBAIBA";-;-;-;-;-;-;-;-;2;-;1;1;-;4
"210980 SANTA HELENA";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"210990 SANTA INES";1;-;-;-;4;3;8;10;3;8;10;4;-;51
"211000 SANTA LUZIA";-;-;-;-;-;-;1;2;1;-;-;-;-;4
"211003 SANTA LUZIA DO PARUA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"211020 SANTA RITA";-;-;-;-;-;-;-;-;-;2;-;-;-;2
"211023 SANTANA DO MARANHAO";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"211030 SANTO ANTONIO DOS LOPES";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"211050 SAO BENTO";-;-;-;-;2;5;17;9;3;-;-;-;-;36
"211065 SAO DOMINGOS DO AZEITAO";-;-;-;-;-;-;-;-;3;9;2;-;-;14
"211070 SAO DOMINGOS DO MARANHAO";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"211080 SAO FELIX DE BALSAS";-;3;4;14;5;-;-;-;-;-;-;-;-;26
"211085 SAO FRANCISCO DO BREJAO";-;2;-;1;1;1;-;4;3;2;8;3;-;25
"211090 SAO FRANCISCO DO MARANHAO";-;-;-;8;4;1;1;-;-;1;-;-;-;15
"211100 SAO JOAO BATISTA";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"211102 SAO JOAO DO CARU";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"211105 SAO JOAO DO PARAISO";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"211110 SAO JOAO DOS PATOS";-;-;-;-;-;-;1;2;-;-;2;-;-;5
"211120 SAO JOSE DE RIBAMAR";1;-;-;1;-;1;-;7;4;3;1;-;-;18
"211125 SAO JOSE DOS BASILIOS";-;-;-;-;-;-;-;1;2;-;-;-;-;3
"211130 SAO LUIS";15;15;18;18;20;15;16;25;34;34;43;15;-;268
"211150 SAO MATEUS DO MARANHAO";-;1;-;1;2;2;2;3;3;5;-;-;-;19
"211153 SAO PEDRO DA AGUA BRANCA";-;-;-;-;-;-;-;3;3;-;1;-;-;7
"211160 SAO RAIMUNDO DAS MANGABEIRAS";-;-;1;-;-;-;2;3;2;3;2;2;-;15
"211176 SENADOR LA ROCQUE";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"211180 SITIO NOVO";1;-;-;-;-;-;2;-;2;3;1;-;-;9
"211200 TASSO FRAGOSO";-;-;-;-;-;1;-;-;-;-;1;2;3;7
"211220 TIMON";-;-;-;-;-;1;-;-;-;-;1;3;-;5
"211223 TRIZIDELA DO VALE";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"211227 TUFILANDIA";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"211240 TURIACU";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"211260 URBANO SANTOS";-;-;-;-;-;1;-;2;-;-;-;-;-;3
"211280 VIANA";-;1;1;-;-;-;-;1;-;-;-;-;-;3
"211300 VITORINO FREIRE";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"211400 ZE DOCA";-;1;-;-;1;-;-;-;-;-;-;-;-;2
"220010 AGRICOLANDIA";-;-;-;-;-;-;2;-;1;-;-;-;-;3
"220020 AGUA BRANCA";-;-;-;-;-;-;-;-;1;-;1;-;-;2
"220030 ALTO LONGA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"220040 ALTOS";-;-;1;-;-;-;-;-;1;-;-;-;-;2
"220070 ANISIO DE ABREU";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"220080 ANTONIO ALMEIDA";-;-;-;-;-;-;-;-;2;-;-;-;-;2
"220117 BARRA D'ALCANTARA";-;-;-;-;-;-;-;-;-;1;-;2;-;3
"220155 BELA VISTA DO PIAUI";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"220170 BERTOLINIA";-;-;-;-;-;-;-;3;-;-;3;-;-;6
"220173 BETANIA DO PIAUI";-;-;1;2;1;1;-;-;-;1;-;-;-;6
"220190 BOM JESUS";-;-;-;-;-;-;-;-;-;-;1;1;-;2
"220192 BONFIM DO PIAUI";-;-;-;-;-;1;-;-;-;-;1;-;-;2
"220202 BURITI DOS MONTES";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"220250 CARACOL";-;-;-;-;-;-;1;-;-;-;-;-;1;2
"220310 CRISTINO CASTRO";-;-;-;1;-;-;1;-;-;-;-;-;-;2
"220320 CURIMATA";1;-;-;-;-;-;-;1;-;4;2;4;-;12
"220325 CURRALINHOS";-;-;-;-;1;3;4;3;2;-;1;-;-;14
"220330 DEMERVAL LOBAO";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"220335 DIRCEU ARCOVERDE";-;-;-;-;-;1;-;-;8;6;1;-;-;16
"220345 DOM INOCENCIO";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"220350 ELESBAO VELOSO";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"220370 ESPERANTINA";-;-;-;-;-;-;-;2;5;-;1;2;-;10
"220390 FLORIANO";-;1;-;-;-;1;-;-;7;3;5;2;-;19
"220440 GILBUES";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"220455 GUARIBAS";-;-;-;-;-;-;-;1;2;-;-;-;-;3
"220465 ILHA GRANDE";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"220470 INHUMA";-;-;-;-;-;-;-;-;1;-;-;1;-;2
"220480 IPIRANGA DO PIAUI";-;-;-;-;-;1;1;1;-;-;-;-;-;3
"220530 JERUMENHA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"220535 JOAO COSTA";-;-;-;-;-;-;2;-;-;-;-;-;-;2
"220540 JOAQUIM PIRES";-;2;-;-;-;-;-;-;1;-;-;-;-;3
"220545 JOCA MARQUES";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"220550 JOSE DE FREITAS";1;-;-;-;-;-;-;-;-;1;-;-;1;3
"220553 JUREMA";14;10;14;1;16;8;-;-;-;-;-;-;-;63
"220555 LAGOA ALEGRE";-;-;-;-;1;-;-;-;-;1;1;-;-;3
"220556 LAGOA DO BARRO DO PIAUI";-;-;1;-;-;-;-;-;-;-;1;-;-;2
"220557 LAGOA DE SAO FRANCISCO";-;-;-;-;1;-;-;-;-;-;2;-;-;3
"220560 LANDRI SALES";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"220620 MIGUEL ALVES";1;-;-;-;-;-;-;1;-;-;-;-;-;2
"220640 MONSENHOR GIL";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"220672 NAZARIA";-;-;-;-;1;-;-;-;-;4;-;1;1;7
"220680 NOSSA SENHORA DOS REMEDIOS";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"220700 OEIRAS";-;-;1;1;-;-;-;-;1;-;1;-;-;4
"220710 OLHO D'AGUA DO PIAUI";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"220760 PARNAGUA";-;-;1;-;-;-;-;1;-;-;-;-;-;2
"220770 PARNAIBA";2;1;-;-;-;1;-;-;-;3;2;-;-;9
"220779 PAU D'ARCO DO PIAUI";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"220820 PIO IX";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"220830 PIRACURUCA";-;-;2;-;-;-;-;-;-;1;-;-;-;3
"220840 PIRIPIRI";-;-;1;-;-;-;-;-;1;-;-;-;-;2
"220900 RIO GRANDE DO PIAUI";-;-;-;-;-;-;1;-;-;-;3;1;-;5
"220955 SAO BRAZ DO PIAUI";-;-;-;-;2;1;3;2;8;-;2;-;-;18
"221005 SAO JOSE DO DIVINO";-;-;-;1;-;-;1;-;-;-;-;1;-;3
"221040 SAO MIGUEL DO TAPUIO";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"221050 SAO PEDRO DO PIAUI";1;2;3;6;5;10;9;13;9;4;-;-;-;62
"221060 SAO RAIMUNDO NONATO";-;-;1;4;10;10;8;19;13;29;20;4;-;118
"221063 SEBASTIAO LEAL";-;-;-;-;7;4;2;2;-;12;-;-;-;27
"221070 SIMOES";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"221100 TERESINA";33;20;30;45;58;53;56;63;72;80;58;35;1;604
"221110 UNIAO";-;2;-;-;-;-;1;-;-;-;-;-;-;3
"221120 URUCUI";-;-;-;-;-;-;1;-;1;5;-;-;-;7
"221135 VARZEA BRANCA";-;-;-;-;-;-;-;-;1;5;-;1;-;7
"230010 ABAIARA";-;-;-;-;-;-;-;-;-;1;4;1;1;7
"230020 ACARAU";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"230030 ACOPIARA";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"230060 ALTANEIRA";-;-;-;-;-;-;-;-;1;2;5;4;-;12
"230070 ALTO SANTO";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"230075 AMONTADA";-;-;-;-;-;-;-;2;-;3;-;-;-;5
"230100 AQUIRAZ";-;-;-;-;-;-;1;-;1;-;-;-;-;2
"230110 ARACATI";-;1;1;1;1;3;7;8;-;1;3;-;-;26
"230125 ARARENDA";-;-;-;-;-;-;1;1;1;3;2;1;-;9
"230160 ASSARE";-;1;-;-;-;2;-;-;-;-;-;2;1;6
"230180 BAIXIO";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"230185 BANABUIU";1;-;-;-;-;-;1;1;1;-;-;-;-;4
"230200 BARRO";-;-;-;-;-;-;-;-;-;-;2;3;1;6
"230210 BATURITE";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"230250 BREJO SANTO";4;-;-;1;-;-;1;-;4;3;10;9;-;32
"230270 CAMPOS SALES";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"230290 CAPISTRANO";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"230320 CARIRIACU";-;-;-;-;-;-;2;-;1;-;-;-;-;3
"230330 CARIUS";-;-;-;-;-;-;-;-;-;-;1;2;-;3
"230340 CARNAUBAL";-;-;-;-;-;-;1;-;1;3;-;1;-;6
"230350 CASCAVEL";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"230360 CATARINA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"230370 CAUCAIA";-;1;1;1;-;-;-;-;-;-;-;-;-;3
"230380 CEDRO";1;-;-;-;1;-;2;2;2;7;6;10;2;33
"230395 CHOROZINHO";-;-;-;-;-;-;-;1;-;1;-;-;-;2
"230400 COREAU";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"230420 CRATO";1;2;5;7;2;3;1;-;2;2;3;7;1;36
"230423 CROATA";-;-;-;-;-;-;-;-;1;1;5;-;-;7
"230428 EUSEBIO";-;-;-;-;-;-;-;1;1;-;-;-;-;2
"230430 FARIAS BRITO";-;-;-;2;4;1;1;-;1;2;-;-;-;11
"230440 FORTALEZA";-;1;3;1;3;2;6;4;1;4;1;4;-;30
"230460 GENERAL SAMPAIO";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"230465 GRACA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"230480 GRANJEIRO";-;2;4;2;7;2;6;9;2;-;-;-;-;34
"230500 GUARACIABA DO NORTE";31;22;5;7;15;4;9;5;16;28;16;5;-;163
"230520 HIDROLANDIA";-;-;-;-;-;-;-;1;-;-;-;1;1;3
"230535 ICAPUI";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"230540 ICO";-;-;-;1;9;9;17;16;18;14;-;-;-;84
"230550 IGUATU";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"230565 IPAPORANGA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"230570 IPAUMIRIM";-;-;-;-;-;-;-;1;1;-;1;-;-;3
"230580 IPU";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"230590 IPUEIRAS";-;-;-;-;-;-;-;1;1;-;-;-;-;2
"230620 ITAICABA";-;-;-;-;1;1;-;1;-;-;1;-;-;4
"230640 ITAPIPOCA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"230650 ITAPIUNA";-;-;-;-;-;-;-;-;-;-;1;1;-;2
"230655 ITAREMA";-;-;-;1;1;-;-;-;-;-;-;-;-;2
"230670 JAGUARETAMA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"230680 JAGUARIBARA";-;-;-;-;-;3;2;1;1;2;1;-;-;10
"230690 JAGUARIBE";-;-;-;-;-;-;-;-;1;-;-;-;2;3
"230700 JAGUARUANA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"230710 JARDIM";6;1;4;4;10;3;14;11;24;19;12;7;-;115
"230725 JIJOCA DE JERICOACOARA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"230730 JUAZEIRO DO NORTE";-;-;-;1;-;-;-;1;-;-;1;-;-;3
"230740 JUCAS";1;-;-;-;2;-;-;-;-;-;-;-;-;3
"230760 LIMOEIRO DO NORTE";-;-;2;-;-;-;-;2;3;2;-;-;-;9
"230763 MADALENA";1;-;-;-;-;-;-;-;-;2;-;-;-;3
"230765 MARACANAU";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"230800 MASSAPE";-;-;-;-;-;-;-;-;-;-;2;-;-;2
"230810 MAURITI";2;-;-;-;1;-;1;-;-;-;1;-;-;5
"230830 MILAGRES";-;-;-;-;1;-;-;-;4;4;8;8;5;30
"230850 MOMBACA";-;-;-;-;-;-;-;3;3;5;8;9;1;29
"230910 MULUNGU";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"230930 NOVA RUSSAS";-;-;-;-;-;-;-;-;1;1;2;-;-;4
"230990 PACUJA";-;-;-;-;-;-;-;-;-;2;-;-;-;2
"231020 PARACURU";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"231025 PARAIPABA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"231030 PARAMBU";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"231050 PEDRA BRANCA";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"231060 PENAFORTE";-;-;-;-;-;-;1;-;-;-;-;3;-;4
"231070 PENTECOSTE";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"231080 PEREIRO";3;-;-;-;2;1;1;2;4;3;8;3;-;27
"231085 PINDORETAMA";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"231123 POTIRETAMA";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"231126 QUITERIANOPOLIS";-;-;-;1;-;-;-;-;-;1;-;1;-;3
"231130 QUIXADA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"231140 QUIXERAMOBIM";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"231160 REDENCAO";-;-;-;-;-;-;-;1;-;7;1;2;1;12
"231170 RERIUTABA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"231180 RUSSAS";-;-;-;-;-;-;1;1;-;1;1;3;-;7
"231210 SANTANA DO CARIRI";-;-;-;-;1;-;1;1;-;1;-;-;-;4
"231230 SAO BENEDITO";-;-;-;-;-;-;-;4;1;-;5;2;-;12
"231290 SOBRAL";-;-;-;-;-;-;1;-;-;-;-;1;-;2
"231310 TABULEIRO DO NORTE";2;1;-;-;-;-;1;1;-;-;-;-;-;5
"231320 TAMBORIL";-;-;-;-;2;-;4;-;1;6;7;18;6;44
"231330 TAUA";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"231340 TIANGUA";3;6;5;1;10;7;2;4;5;6;4;2;-;55
"231350 TRAIRI";-;-;1;-;-;-;1;-;-;-;1;-;-;3
"231360 UBAJARA";-;-;-;-;1;1;-;-;-;-;-;-;-;2
"231370 UMARI";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"231380 URUBURETAMA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"231400 VARZEA ALEGRE";2;-;1;2;3;-;1;-;3;1;-;-;-;13
"240020 ACU";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"240030 AFONSO BEZERRA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"240050 ALEXANDRIA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"240090 ANTONIO MARTINS";-;-;-;-;-;-;-;1;5;16;8;8;2;40
"240160 BENTO FERNANDES";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"240185 CAICARA DO NORTE";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"240200 CAICO";-;-;-;-;1;-;-;-;-;-;4;-;2;7
"240210 CAMPO REDONDO";1;-;-;-;1;1;-;-;-;-;1;-;-;4
"240240 CARNAUBA DOS DANTAS";-;-;-;-;-;-;-;1;-;-;-;1;-;2
"240260 CEARA-MIRIM";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"240310 CURRAIS NOVOS";1;1;-;-;-;-;-;-;-;-;-;-;-;2
"240325 PARNAMIRIM";-;5;1;1;-;1;3;2;-;-;-;-;-;13
"240330 ENCANTO";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"240350 ESPIRITO SANTO";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"240360 EXTREMOZ";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"240400 FRUTUOSO GOMES";-;-;-;-;-;-;-;-;1;1;-;-;-;2
"240420 GOIANINHA";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"240450 GUAMARE";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"240540 JAPI";1;2;-;1;-;-;-;-;-;-;-;-;-;4
"240580 JOAO CAMARA";-;-;-;-;-;-;-;-;1;1;1;2;-;5
"240670 LAJES";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"240680 LAJES PINTADAS";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"240720 MACAU";-;-;-;-;-;-;-;2;1;-;1;-;-;4
"240740 MARTINS";-;-;-;-;-;-;3;1;-;-;-;-;-;4
"240750 MAXARANGUAPE";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"240800 MOSSORO";1;1;2;-;1;-;1;10;68;63;122;128;22;419
"240810 NATAL";8;11;5;-;3;5;7;1;4;-;3;1;-;48
"240860 PARANA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"240880 PARAZINHO";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"240920 PASSAGEM";-;-;-;-;-;-;-;-;1;-;-;-;1;2
"240940 PAU DOS FERROS";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"240950 PEDRA GRANDE";-;-;-;-;-;-;-;-;-;-;2;1;-;3
"240960 PEDRA PRETA";-;-;-;1;-;-;-;-;2;4;4;5;4;20
"240980 PEDRO VELHO";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"241105 TIBAU";-;-;-;-;-;-;-;-;-;1;-;1;-;2
"241120 SANTA CRUZ";-;-;-;-;-;-;1;-;-;1;1;-;-;3
"241200 SAO GONCALO DO AMARANTE";2;1;-;-;-;-;-;-;1;-;-;-;-;4
"241210 SAO JOAO DO SABUGI";-;-;1;-;1;-;-;-;-;-;-;-;-;2
"241220 SAO JOSE DE MIPIBU";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"241250 SAO MIGUEL";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"241280 SAO RAFAEL";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"241335 SERRA DO MEL";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"241350 SERRINHA";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"241355 SERRINHA DOS PINTOS";3;6;6;13;3;9;4;17;7;12;7;6;-;93
"241370 SITIO NOVO";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"241400 TANGARA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"250010 AGUA BRANCA";-;2;1;-;1;-;-;2;-;-;-;1;-;7
"250020 AGUIAR";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"250030 ALAGOA GRANDE";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"250040 ALAGOA NOVA";-;-;-;1;-;-;-;-;5;-;2;3;-;11
"250060 ALHANDRA";-;1;-;-;-;-;-;1;-;2;1;-;-;5
"250150 BANANEIRAS";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"250157 BARRA DE SANTANA";1;2;2;2;1;-;1;1;-;1;8;1;-;20
"250180 BAYEUX";1;-;-;1;1;-;-;-;1;1;2;1;-;8
"250210 BOA VENTURA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"250250 BOQUEIRAO";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"250260 IGARACY";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"250270 BORBOREMA";-;-;-;-;-;-;-;-;1;1;-;-;-;2
"250310 CABACEIRAS";-;-;-;-;1;-;-;-;-;1;-;-;-;2
"250320 CABEDELO";-;1;1;1;1;-;-;1;-;-;3;2;-;10
"250400 CAMPINA GRANDE";-;-;-;-;1;-;-;-;1;-;1;-;-;3
"250403 CAPIM";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"250410 CARRAPATEIRA";-;-;-;-;-;-;-;1;1;-;-;-;-;2
"250460 CONDE";-;-;1;-;-;-;-;2;1;-;1;-;-;5
"250470 CONGO";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"250500 CUBATI";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"250530 CURRAL VELHO";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"250630 GUARABIRA";-;1;1;1;1;-;-;-;2;1;2;-;-;9
"250640 GURINHEM";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"250650 GURJAO";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"250660 IBIARA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"250680 INGA";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"250750 JOAO PESSOA";36;25;32;32;42;36;51;52;86;106;81;70;33;682
"250800 JURU";-;1;-;-;-;-;-;-;-;-;-;1;-;2
"250830 LAGOA SECA";-;-;2;-;-;-;-;-;-;-;-;-;-;2
"250850 LIVRAMENTO";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"250900 MANAIRA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"250970 MONTEIRO";1;-;-;1;-;2;-;3;1;1;4;4;3;20
"250990 NATUBA";-;-;-;-;-;-;-;1;-;2;-;1;-;4
"251010 NOVA FLORESTA";-;-;-;-;-;-;-;-;-;2;-;-;-;2
"251020 NOVA OLINDA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"251040 OLHO D'AGUA";1;-;-;1;-;1;-;-;1;1;-;1;-;6
"251080 PATOS";-;-;-;-;-;-;-;-;1;1;-;-;-;2
"251130 PIANCO";-;-;-;-;1;-;1;-;1;1;1;2;-;7
"251140 PICUI";-;-;-;-;1;-;-;-;-;1;4;-;3;9
"251160 PILOES";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"251180 PIRPIRITUBA";-;-;-;-;-;-;-;1;1;-;-;-;-;2
"251200 POCINHOS";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"251207 POCO DE JOSE DE MOURA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"251230 PRINCESA ISABEL";1;-;1;2;-;3;1;3;8;1;8;2;-;30
"251240 PUXINANA";-;-;-;-;-;-;-;-;1;-;2;-;-;3
"251275 RIACHAO DO BACAMARTE";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"251290 RIO TINTO";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"251320 SANTA CRUZ";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"251340 SANTA LUZIA";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"251370 SANTA RITA";1;1;-;2;-;1;4;-;2;-;-;1;-;12
"251392 SAO BENTINHO";-;-;-;-;-;-;-;-;-;1;1;-;-;2
"251398 SAO FRANCISCO";-;-;-;1;-;-;-;-;-;-;-;-;-;1
